tourney_id,tourney_name,tourney_date,match_num,winner_id,winner_name,winner_hand,winner_ioc,loser_id,loser_name,loser_hand,loser_ioc,score,round,tourney_year
2000-W-SL-FRA-01A-2000,Roland Garros,2000-05-29,92,200054,Sylvia Plischke,R,AUT,200113,Anna Kournikova,R,RUS,6-2 4-6 6-3,R64,2000
2000-W-SL-FRA-01A-2000,Roland Garros,2000-05-29,93,200064,Amanda Coetzer,R,RSA,200061,Gala Leon Garcia,L,ESP,6-3 6-1,R64,2000
2000-W-SL-FRA-01A-2000,Roland Garros,2000-05-29,94,200709,Rossana De Los Rios,R,PAR,200123,Marlene Weingartner,R,GER,6-0 6-1,R64,2000
2000-W-SL-FRA-01A-2000,Roland Garros,2000-05-29,95,200070,Anne Gaelle Sidot,L,FRA,200124,Anne Kremer,R,LUX,6-4 4-6 6-1,R64,2000
2000-W-SL-FRA-01A-2000,Roland Garros,2000-05-29,96,200777,Marta Marrero,R,ESP,200080,Dominique Monami,R,BEL,0-6 7-5 7-5,R64,2000
2000-W-SL-FRA-01A-2000,Roland Garros,2000-05-29,97,200001,Martina Hingis,R,SUI,200060,Tathiana Garbin,R,ITA,6-1 6-0,R32,2000
2000-W-SL-FRA-01A-2000,Roland Garros,2000-05-29,98,200059,Ruxandra Dragomir Ilie,R,ROU,200086,Magdalena Maleeva,R,BUL,7-6(5) 6-1,R32,2000
2000-W-SL-FRA-01A-2000,Roland Garros,2000-05-29,99,200116,Natalia Zvereva,R,BLR,200110,Fabiola Zuluaga,R,COL,4-6 6-2 1-0 RET,R32,2000
2000-W-SL-FRA-01A-2000,Roland Garros,2000-05-29,100,200039,Chanda Rubin,R,USA,200097,Nathalie Tauziat,R,FRA,6-4 7-6(3),R32,2000
2000-W-SL-FRA-01A-2000,Roland Garros,2000-05-29,101,200652,Monica Seles,L,USA,200119,Rita Kuti Kis,L,HUN,6-1 6-2,R32,2000
2000-W-SL-FRA-01A-2000,Roland Garros,2000-05-29,102,200065,Amelie Mauresmo,R,FRA,200117,Kveta Peschke,R,CZE,6-1 6-0,R32,2000
2000-W-SL-FRA-01A-2000,Roland Garros,2000-05-29,103,200084,Asa Carlsson,R,SWE,200016,Sandrine Testud,R,FRA,4-6 6-3 7-5,R32,2000
2000-W-SL-FRA-01A-2000,Roland Garros,2000-05-29,104,200096,Mary Pierce,R,FRA,200043,Virginie Razzano,R,FRA,6-4 6-0,R32,2000
2000-W-SL-FRA-01A-2000,Roland Garros,2000-05-29,105,200017,Arantxa Sanchez Vicario,R,ESP,200027,Magui Serna,L,ESP,7-5 6-4,R32,2000
2000-W-SL-FRA-01A-2000,Roland Garros,2000-05-29,106,200032,Barbara Schett,R,AUT,200769,Giulia Casoni,R,ITA,6-2 6-1,R32,2000
2000-W-SL-FRA-01A-2000,Roland Garros,2000-05-29,107,200081,Anke Huber,R,GER,200732,Magdalena Grzybowska,R,POL,6-2 6-2,R32,2000
2000-W-SL-FRA-01A-2000,Roland Garros,2000-05-29,108,200748,Venus Williams,R,USA,200104,Emilie Loit,L,FRA,6-2 6-2,R32,2000
2000-W-SL-FRA-01A-2000,Roland Garros,2000-05-29,109,200049,Conchita Martinez,R,ESP,200700,Silvia Farina Elia,R,ITA,6-1 6-0,R32,2000
2000-W-SL-FRA-01A-2000,Roland Garros,2000-05-29,110,200085,Ai Sugiyama,R,JPN,200054,Sylvia Plischke,R,AUT,6-4 6-1,R32,2000
2000-W-SL-FRA-01A-2000,Roland Garros,2000-05-29,111,200709,Rossana De Los Rios,R,PAR,200064,Amanda Coetzer,R,RSA,7-5 6-7(4) 6-4,R32,2000
2000-W-SL-FRA-01A-2000,Roland Garros,2000-05-29,112,200777,Marta Marrero,R,ESP,200070,Anne Gaelle Sidot,L,FRA,7-6(0) 6-2,R32,2000
2000-W-SL-FRA-01A-2000,Roland Garros,2000-05-29,113,200001,Martina Hingis,R,SUI,200059,Ruxandra Dragomir Ilie,R,ROU,6-3 0-6 6-1,R16,2000
2000-W-SL-FRA-01A-2000,Roland Garros,2000-05-29,114,200039,Chanda Rubin,R,USA,200116,Natalia Zvereva,R,BLR,6-4 7-5,R16,2000
2000-W-SL-FRA-01A-2000,Roland Garros,2000-05-29,115,200652,Monica Seles,L,USA,200065,Amelie Mauresmo,R,FRA,7-5 6-3,R16,2000
2000-W-SL-FRA-01A-2000,Roland Garros,2000-05-29,116,200096,Mary Pierce,R,FRA,200084,Asa Carlsson,R,SWE,6-2 6-1,R16,2000
2000-W-SL-FRA-01A-2000,Roland Garros,2000-05-29,117,200017,Arantxa Sanchez Vicario,R,ESP,200032,Barbara Schett,R,AUT,0-6 6-4 6-2,R16,2000
2000-W-SL-FRA-01A-2000,Roland Garros,2000-05-29,118,200748,Venus Williams,R,USA,200081,Anke Huber,R,GER,7-6(4) 6-2,R16,2000
2000-W-SL-FRA-01A-2000,Roland Garros,2000-05-29,119,200049,Conchita Martinez,R,ESP,200085,Ai Sugiyama,R,JPN,5-7 6-3 6-4,R16,2000
2000-W-SL-FRA-01A-2000,Roland Garros,2000-05-29,120,200777,Marta Marrero,R,ESP,200709,Rossana De Los Rios,R,PAR,4-6 6-0 6-4,R16,2000
2000-W-SL-FRA-01A-2000,Roland Garros,2000-05-29,121,200001,Martina Hingis,R,SUI,200039,Chanda Rubin,R,USA,6-1 6-3,QF,2000
2000-W-SL-FRA-01A-2000,Roland Garros,2000-05-29,122,200096,Mary Pierce,R,FRA,200652,Monica Seles,L,USA,4-6 6-3 6-4,QF,2000
2000-W-SL-FRA-01A-2000,Roland Garros,2000-05-29,123,200017,Arantxa Sanchez Vicario,R,ESP,200748,Venus Williams,R,USA,6-0 1-6 6-2,QF,2000
2000-W-SL-FRA-01A-2000,Roland Garros,2000-05-29,124,200049,Conchita Martinez,R,ESP,200777,Marta Marrero,R,ESP,7-6(5) 6-1,QF,2000
2000-W-SL-FRA-01A-2000,Roland Garros,2000-05-29,125,200096,Mary Pierce,R,FRA,200001,Martina Hingis,R,SUI,6-4 5-7 6-2,SF,2000
2000-W-SL-FRA-01A-2000,Roland Garros,2000-05-29,126,200049,Conchita Martinez,R,ESP,200017,Arantxa Sanchez Vicario,R,ESP,6-1 6-2,SF,2000
2000-W-SL-FRA-01A-2000,Roland Garros,2000-05-29,127,200096,Mary Pierce,R,FRA,200049,Conchita Martinez,R,ESP,6-2 7-5,F,2000
2000-W-SL-USA-01A-2000,US Open,2000-08-22,1,200001,Martina Hingis,R,SUI,200121,Alina Jidkova,R,RUS,6-3 6-1,R128,2000
2000-W-SL-USA-01A-2000,US Open,2000-08-22,2,200062,Kristina Brandi,R,PUR,201203,Alena Vaskova,R,CZE,6-2 6-3,R128,2000
2000-W-SL-USA-01A-2000,US Open,2000-08-22,3,200056,Jelena Kostanic Tosic,L,CRO,201086,Greta Arn,R,HUN,6-4 7-6,R128,2000
2000-W-SL-USA-01A-2000,US Open,2000-08-22,4,200060,Tathiana Garbin,R,ITA,200765,Katalin Marosi,R,HUN,6-1 6-1,R128,2000
2000-W-SL-USA-01A-2000,US Open,2000-08-22,5,200085,Ai Sugiyama,R,JPN,200092,Sandra Nacuk,R,SCG,6-1 6-7 6-3,R128,2000
2000-W-SL-USA-01A-2000,US Open,2000-08-22,6,200082,Kristie Boogert,R,NED,200002,Mirjana Lucic,R,CRO,4-6 6-4 6-1,R128,2000
2000-W-SL-USA-01A-2000,US Open,2000-08-22,7,201204,Iroda Tulyaganova,R,UZB,200774,Vanessa Webb,L,CAN,3-6 6-3 6-4,R128,2000
2000-W-SL-USA-01A-2000,US Open,2000-08-22,8,200016,Sandrine Testud,R,FRA,200036,Nicole Pratt,R,AUS,6-3 6-1,R128,2000
2000-W-SL-USA-01A-2000,US Open,2000-08-22,9,200077,Jennifer Capriati,R,USA,200022,Emmanuelle Gagliardi,R,SUI,6-4 6-0,R128,2000
2000-W-SL-USA-01A-2000,US Open,2000-08-22,10,200098,Henrieta Nagyova,R,SVK,200030,Miroslava Vavrinec,R,SUI,6-4 6-2,R128,2000
2000-W-SL-USA-01A-2000,US Open,2000-08-22,11,200088,Adriana Gersi,R,CZE,200766,Jennifer Hopkins,R,USA,6-1 6-4,R128,2000
2000-W-SL-USA-01A-2000,US Open,2000-08-22,12,200109,Nathalie Dechy,R,FRA,200072,Cara Black,R,ZIM,6-3 6-2,R128,2000
2000-W-SL-USA-01A-2000,US Open,2000-08-22,13,200039,Chanda Rubin,R,USA,200084,Asa Carlsson,R,SWE,6-2 6-2,R128,2000
2000-W-SL-USA-01A-2000,US Open,2000-08-22,14,200032,Barbara Schett,R,AUT,200700,Silvia Farina Elia,R,ITA,6-4 3-6 7-6,R128,2000
2000-W-SL-USA-01A-2000,US Open,2000-08-22,15,200124,Anne Kremer,R,LUX,200052,Olga Barabanschikova,R,BLR,6-2 6-4,R128,2000
2000-W-SL-USA-01A-2000,US Open,2000-08-22,16,200652,Monica Seles,L,USA,201205,Tracy Almeda Singian,U,USA,6-0 6-2,R128,2000
2000-W-SL-USA-01A-2000,US Open,2000-08-22,17,200748,Venus Williams,R,USA,200070,Anne Gaelle Sidot,L,FRA,6-3 6-4,R128,2000
2000-W-SL-USA-01A-2000,US Open,2000-08-22,18,200117,Kveta Peschke,R,CZE,200772,Anastasia Myskina,R,RUS,6-1 5-7 6-3,R128,2000
